TITULO;;CPB_ROE;;PAIS_OBRA;;QTD_DIAS_EXIBICAO;;QTD_PUBLICO;;NOTA;;VOTOS;;QTD_DIRETOR_M;;QTD_DIRETOR_F;;DIRETOR_GENERO;;QTD_ROTERISTA_MQTD_ROTERISTA_FROTERISTA_GENERO
A LENDA DE GOLEM;;E1900137000000;;OUTROS;;14;;8077;;5,5;;5865;;0;;2;;F;;10M
A LENDA DE TARZAN;;E1600251800000;;ESTADOS UNIDOS;;68;;2277468;;6,2;;188383;;1;;0;;M;;30M
A LINGUAGEM DO CORAÇÃO;;E1402548900000;;OUTROS;;66;;6273;;7,5;;1940;;1;;0;;M;;20M
A LINHA;;E2300494900000;;OUTROS;;24;;714;;6;;513;;0;;1;;F;;14F
A LOUCURA ENTRE NÓS;;B1600296800000;;BRASIL;;100;;5173;;7,5;;35;;0;;1;;F;;00M
A LUNETA DO TEMPO;;B1402307700000;;BRASIL;;70;;6881;;6,5;;129;;1;;0;;M;;10M
A LUTA DE STEVE;;E1700242300000;;ESTADOS UNIDOS;;15;;714;;8,3;;3078;;1;;0;;M;;10M
A LUTA DE UMA VIDA;;E2200255600000;;OUTROS;;5;;3723;;6,7;;6072;;1;;0;;M;;20M
A LUTA DO SÉCULO;;B1600441200000;;BRASIL;;64;;2710;;8;;64;;1;;0;;M;;20M
A LUZ DO DEMÔNIO;;E2200195100000;;ESTADOS UNIDOS;;52;;369160;;5,3;;17420;;0;;1;;F;;21M
A LUZ ENTRE OCEANOS;;E1600452500000;;ESTADOS UNIDOS;;67;;55041;;7,2;;60001;;1;;0;;M;;20M
A LUZ NO FIM DO MUNDO;;E1900363100000;;ESTADOS UNIDOS;;24;;7335;;6,6;;15382;;1;;0;;M;;10M
A MALDIÇÃO DA FLORESTA;;E1600586900000;;OUTROS;;41;;91775;;5,7;;18482;;1;;0;;M;;30M
A MALDIÇÃO DA FREIRA;;E1900033300000;;OUTROS;;36;;148557;;5,3;;4000;;0;;1;;F;;21M
A MALDIÇÃO DO QUARTO 203;;E2200396200000;;ESTADOS UNIDOS;;36;;43095;;4,2;;1924;;1;;0;;M;;40M
A MANSÃO MÁGICA;;E1402627600000;;OUTROS;;76;;300574;;6,2;;7324;;1;;2;;F;;21M
A MARATONA DE BRITTANY;;E1900297700000;;ESTADOS UNIDOS;;2;;2380;;6,8;;22156;;1;;0;;M;;10M
A MARCA DO MEDO;;E1500409800000;;ESTADOS UNIDOS;;21;;43564;;5,1;;21094;;1;;0;;M;;31M
A MARCHA;;E1500904100000;;OUTROS;;14;;539;;6,2;;410;;1;;0;;M;;41M
