TITULO;;CPB_ROE;;PAIS_OBRA;;QTD_DIAS_EXIBICAO;;QTD_PUBLICO;;NOTA;;VOTOS;;QTD_DIRETOR_M;;QTD_DIRETOR_F;;DIRETOR_GENERO;;QTD_ROTERISTA_MQTD_ROTERISTA_FROTERISTA_GENERO
OS INVISÍVEIS;;E1800412400000;;OUTROS;;54;;7125;;7,2;;1723;;1;;0;;M;;11M
OS JOVENS BAUMANN;;B1900108800000;;BRASIL;;27;;1783;;6,1;;68;;0;;1;;F;;00M
OS MAIAS (ALGUNS) EPISÓDIOS DA VIDA ROMÂNTICA;;B1402275800000;;BRASIL;;38;;2416;;6,3;;890;;1;;0;;M;;20M
OS MERCENÁRIOS 3;;E1402602700000;;ESTADOS UNIDOS;;112;;2077119;;6,1;;195728;;0;;1;;F;;31M
OS NOMES DO AMOR;;E1500651400000;;OUTROS;;14;;138;;7,1;;8224;;1;;0;;M;;11M
OS OITO ODIADOS;;E1500857700000;;ESTADOS UNIDOS;;67;;719647;;7,8;;657538;;1;;0;;M;;10M
OS OLHOS AMARELOS DOS CROCODILOS;;E1500241600000;;OUTROS;;64;;12786;;6,3;;1532;;1;;0;;M;;12F
OS OLHOS DE CABUL;;E1900532600000;;OUTROS;;1;;5;;7,5;;2665;;1;;1;;M;;13F
OS OLHOS DE CABUL;;E1900532600000;;OUTROS;;25;;183;;7,5;;2665;;1;;1;;M;;13F
OS OSSOS DA SAUDADE;;B1900623300000;;BRASIL;;13;;75;;8,4;;5;;1;;0;;M;;20M
OS OUTROS;;B1600341800000;;BRASIL;;35;;574;;0;;0;;0;;9;;F;;00M
OS PAPÉIS DE ASPERN;;E1900099900000;;OUTROS;;35;;4075;;4,5;;810;;0;;1;;F;;13F
OS PARÇAS;;B1700503500000;;BRASIL;;98;;1571403;;4,2;;566;;1;;1;;M;;20M
OS PARÇAS 2;;B1900487100000;;BRASIL;;88;;1312134;;3,4;;237;;0;;1;;F;;11M
OS PENETRAS 2 - QUEM DÁ MAIS?;;B1600784700000;;BRASIL;;47;;402330;;4,4;;170;;1;;0;;M;;31M
OS POBRES DIABOS;;B1302033700000;;BRASIL;;29;;3953;;6,6;;43;;1;;0;;M;;10M
OS PRIMEIROS SOLDADOS;;B2200212700000;;BRASIL;;73;;4454;;6,9;;186;;1;;0;;M;;10M
OS REJEITADOS;;E2300460500000;;ESTADOS UNIDOS;;50;;70635;;7,9;;131184;;1;;0;;M;;01F
OS SABORES DO PALÁCIO;;E1500547000000;;OUTROS;;23;;256;;6,4;;6853;;1;;0;;M;;30M
OS SALAFRÁRIOS;;B1900589200000;;BRASIL;;7;;613;;5,3;;862;;1;;0;;M;;10M
OS SALTIMBANCOS TRAPALHÕES - RUMO A HOLLYWOOD;;B1600738500000;;BRASIL;;32;;96018;;6,3;;155;;1;;0;;M;;31M
OS SENHORES DA GUERRA;;B1600280100000;;BRASIL;;55;;5224;;6,1;;43;;1;;0;;M;;20M
OS SMURFS E A VILA PERDIDA;;E1500757200000;;ESTADOS UNIDOS;;106;;1464878;;6;;24072;;1;;0;;M;;21M
OS SONÂMBULOS;;B1900235800000;;BRASIL;;22;;40;;5,5;;13;;1;;0;;M;;20M
OS SUBURBANOS - O FILME;;B1900479000000;;BRASIL;;34;;85037;;3,5;;38;;1;;0;;M;;21M
OS SUSPEITOS;;E1600228900000;;ESTADOS UNIDOS;;7;;90;;8,2;;805832;;1;;0;;M;;10M
OS TRADUTORES;;E2000497300000;;OUTROS;;48;;5353;;6,5;;9199;;1;;0;;M;;30M
OS TRANSGRESSORES;;B1600785500000;;BRASIL;;14;;168;;0;;0;;1;;0;;M;;01F
OS TUBARÕES DE COPACABANA;;B1402108000000;;BRASIL;;10;;57;;6,4;;13;;1;;0;;M;;10M
OS ULTIMOS CANGACEIROS;;B1302041500000;;BRASIL;;76;;4308;;6,9;;34;;1;;0;;M;;10M
OS UNDER-UNDERGROUNDS, O COMEÇO;;B1900098600000;;BRASIL;;9;;92;;8,3;;52;;1;;0;;M;;52M
OSVALDÃO;;B1500823700000;;BRASIL;;35;;442;;6,9;;13;;3;;0;;M;;10M
OUIJA - O JOGO DOS ESPÍRITOS;;E1402447100000;;ESTADOS UNIDOS;;105;;516765;;4,5;;56850;;1;;0;;M;;11M
OUIJA 2;;E1500750000000;;ESTADOS UNIDOS;;49;;452192;;6,2;;72851;;1;;0;;M;;31M
OURO, SUOR E LÁGRIMAS;;B1402408400000;;BRASIL;;39;;1699;;8,2;;12;;0;;1;;F;;01F
OZUALDO CANDEIAS E O CINEMA;;B1402118500000;;BRASIL;;26;;223;;6,8;;11;;1;;0;;M;;10M
PACARRETE;;B1900209700000;;BRASIL;;83;;4511;;7,2;;318;;1;;0;;M;;31M
PACIFICTION;;E2300110800000;;OUTROS;;19;;641;;6,4;;3165;;1;;0;;M;;20M
PACIFIED;;B2000532000000;;BRASIL;;18;;1074;;6,7;;295;;1;;0;;M;;30M
PADDINGTON 2;;E1700540700000;;OUTROS;;68;;274083;;7,8;;93515;;1;;0;;M;;70M
PAI EM DOSE DUPLA;;E1500819900000;;ESTADOS UNIDOS;;52;;628491;;6,2;;128419;;1;;0;;M;;30M
PAI EM DOSE DUPLA 2;;E1700496000000;;ESTADOS UNIDOS;;56;;447303;;6;;82055;;1;;0;;M;;30M
PAIS E FILHOS;;E1600129600000;;OUTROS;;99;;22358;;7,8;;28034;;0;;1;;F;;01F
PAIXÃO INOCENTE;;E1500045500000;;ESTADOS UNIDOS;;49;;3383;;6,3;;15617;;1;;0;;M;;20M
PAIXÕES RECORRENTES;;B2000346300000;;BRASIL;;21;;601;;6,5;;11;;0;;1;;F;;01F
PAJEÚ;;B2000255000000;;BRASIL;;32;;642;;4,9;;31;;1;;0;;M;;10M
PALACE II - 3 QUARTOS COM VISTA PARA O MAR;;B1800550200000;;BRASIL;;14;;290;;8,3;;25;;1;;0;;M;;00M
PALAVRAS DIABÓLICAS;;E1500477800000;;ESTADOS UNIDOS;;3;;43;;3,4;;661;;0;;1;;F;;01F
PALMEIRAS, O CAMPEÃO DO SÉCULO;;B1600602000000;;BRASIL;;34;;5901;;8,2;;23;;1;;1;;M;;21M
PALOMA;;B2100472800000;;OUTROS;;71;;3453;;6,8;;275;;4;;0;;M;;120M
PÂNICO;;E2100516900000;;ESTADOS UNIDOS;;97;;913362;;0;;0;;2;;0;;M;;20M
PÂNICO VI;;E2300042800000;;ESTADOS UNIDOS;;58;;1239794;;6,5;;118363;;2;;0;;M;;21M
PANTANAL, A BOA INOCÊNCIA DE NOSSAS ORIGENS;;B1800036200000;;BRASIL;;1;;3;;0;;0;;1;;1;;M;;11M
PANTERA NEGRA: WAKANDA PARA SEMPRE;;E2200378300000;;ESTADOS UNIDOS;;159;;5817480;;6,7;;303752;;1;;0;;M;;31M
PAPAI É POP;;B2200260700000;;BRASIL;;22;;51330;;6,1;;155;;1;;0;;M;;50M
PAPÉIS AO VENTO;;E1500798400000;;OUTROS;;75;;2966;;6,1;;1049;;0;;1;;F;;11M
PAPICHA;;E1900458900000;;OUTROS;;21;;374;;7,1;;3612;;1;;0;;M;;20M
PAPICHA;;E1900458900000;;OUTROS;;53;;6996;;7,1;;3612;;1;;0;;M;;20M
PARA MINHA AMADA MORTA;;B1500177200000;;BRASIL;;72;;7195;;6,7;;377;;0;;1;;F;;02F
PARA O QUE DER E VIER;;E1500245400000;;ESTADOS UNIDOS;;14;;8656;;5,3;;16645;;1;;0;;M;;10M
PARA ONDE VOAM AS FEITICEIRAS;;B2000044900000;;BRASIL;;32;;643;;6,9;;36;;0;;3;;F;;03F
PARA SEMPRE (2016);;E1600597800000;;ESTADOS UNIDOS;;16;;12532;;6,2;;722;;0;;1;;F;;01F
PARA SEMPRE ALICE;;E1500113000000;;ESTADOS UNIDOS;;75;;401857;;7,5;;143239;;2;;0;;M;;21M
PARADISE - UMA NOVA VIDA;;E2200161900000;;OUTROS;;74;;6162;;7,4;;61;;1;;0;;M;;10M
PARADISE - UMA NOVA VIDA;;E2200161900000;;OUTROS;;74;;6162;;4,7;;30;;1;;0;;M;;10M
PARA'Í;;B1800418500000;;BRASIL;;45;;2064;;6,8;;13;;1;;0;;M;;10M
PARAÍSO (2017);;E1600764200000;;OUTROS;;63;;6312;;7;;2018;;0;;1;;F;;02F
PARIS, 13º DISTRITO;;E2200131100000;;OUTROS;;53;;2256;;7;;9295;;1;;0;;M;;52M
PARIS-MANHATTAN;;E1500652700000;;OUTROS;;22;;202;;6,1;;3979;;0;;1;;F;;01F
PARO QUANDO QUERO;;E1700045900000;;OUTROS;;30;;2625;;7;;9540;;0;;1;;F;;21M
PARTY GIRL;;E1500459000000;;OUTROS;;53;;2779;;6,4;;1527;;3;;0;;M;;30M
PASOLINI;;E1500636800000;;OUTROS;;54;;6442;;5,9;;4540;;1;;0;;M;;30M
PASSAGEIROS (2017);;E1500750300000;;ESTADOS UNIDOS;;49;;1307750;;7;;445572;;0;;1;;F;;10M
PASSAGEM SECRETA;;B2000100300000;;BRASIL;;9;;58;;6,3;;39;;1;;0;;M;;10M
PASSAGES;;E2300167200000;;OUTROS;;68;;9693;;6,7;;10984;;1;;0;;M;;21M
PÁSSARO BRANCO NA NEVASCA;;E1402358200000;;ESTADOS UNIDOS;;60;;9615;;6,4;;29959;;1;;0;;M;;11M
PASTOR CLÁUDIO;;B1700316600000;;BRASIL;;37;;2287;;7,6;;28;;0;;1;;F;;00M
PATERSON;;E1700171200000;;ESTADOS UNIDOS;;124;;46688;;7,3;;88690;;1;;0;;M;;21M
PATOS!;;E2300459300000;;ESTADOS UNIDOS;;61;;1355972;;6,7;;21547;;2;;0;;M;;20M
PATRULHA CANINA - O FILME;;E2100263000000;;ESTADOS UNIDOS;;123;;779782;;6,1;;8345;;1;;0;;M;;40M
PATRULHA CANINA: UM FILME SUPERPODEROSO;;E2300375700000;;OUTROS;;96;;1482937;;6;;4802;;1;;0;;M;;40M
PATTI CAKE$;;E1700491700000;;ESTADOS UNIDOS;;14;;465;;6,8;;10517;;1;;0;;M;;10M
PAULINA;;B1600294100000;;OUTROS;;72;;15389;;7,7;;30;;0;;1;;F;;02F
PAULISTAS;;B1700590500000;;BRASIL;;53;;1089;;6,1;;15;;1;;0;;M;;00M
PAULO - APÓSTOLO DE CRISTO;;E1800038000000;;ESTADOS UNIDOS;;75;;767548;;6,6;;9848;;1;;0;;M;;20M
PAULO CASÉ;;B1800561800000;;BRASIL;;6;;163;;0;;0;;0;;1;;F;;00M
PAULO MOURA - ALMA BRASILEIRA;;B1301740400000;;BRASIL;;4;;18;;0;;0;;1;;0;;M;;00M
PAVAROTTI;;E1900420200000;;ESTADOS UNIDOS;;14;;1423;;7,5;;3828;;1;;0;;M;;20M
PAYSANDÚ 100 ANOS DE PAYXÃO;;B1500592000000;;BRASIL;;26;;11953;;9;;39;;4;;0;;M;;40M
PEARL;;E2200448800000;;ESTADOS UNIDOS;;105;;110534;;7;;94039;;1;;0;;M;;11M
PEDRO COELHO;;E1800029900000;;OUTROS;;128;;936471;;6,6;;47897;;1;;0;;M;;21M
PEDRO COELHO;;E1800029900000;;OUTROS;;11;;819;;6,6;;47897;;1;;0;;M;;21M
PEGANDO FOGO;;E1500732900000;;ESTADOS UNIDOS;;62;;358564;;6,6;;132553;;1;;0;;M;;20M
PEIXONAUTA: AGENTE SECRETO DA O.S.T.R.A.;;B1201656300000;;BRASIL;;6;;5;;8;;44;;0;;2;;F;;11M
PEIXONAUTA: O FILME;;B1700011500000;;BRASIL;;84;;22144;;7,7;;90;;1;;2;;F;;00M
PELA JANELA;;B1700088100000;;OUTROS;;79;;5251;;6,4;;168;;0;;25;;F;;025F
PELO MALO;;E1500844500000;;OUTROS;;195;;15289;;6,9;;2431;;0;;1;;F;;01F
PELOS OLHOS DE MAISIE;;E1500844000000;;ESTADOS UNIDOS;;228;;20532;;7,4;;28591;;1;;1;;M;;12F
PENDULAR;;B1700104200000;;OUTROS;;76;;7828;;6,4;;538;;0;;4;;F;;08F
PÉPEQUENO;;E1800215200000;;ESTADOS UNIDOS;;222;;1508680;;6,6;;42838;;1;;1;;M;;53M
PEQUENA GAROTA;;E2000518400000;;OUTROS;;10;;144;;7,6;;1435;;1;;0;;M;;10M
PEQUENA GAROTA;;E2000518400000;;OUTROS;;46;;380;;7,6;;1435;;1;;0;;M;;10M
PEQUENA GRANDE VIDA;;E1700453500000;;ESTADOS UNIDOS;;44;;117369;;5,8;;123884;;1;;0;;M;;11M
PEQUENA MAMAE;;E2100458200000;;OUTROS;;57;;2172;;7,4;;17547;;0;;1;;F;;01F
PEQUENO DICIONÁRIO AMOROSO 2;;B1500339400000;;BRASIL;;57;;16642;;5,9;;79;;1;;1;;M;;03F
PEQUENO SEGREDO;;B1600530200000;;BRASIL;;27;;188360;;6,6;;1781;;1;;0;;M;;42M
PEQUENOS GUERREIROS;;B2000378500000;;BRASIL;;41;;1652;;7,7;;12;;0;;1;;F;;11M
PERCI JACKSON E O MAR DE MONSTROS;;E1500676900000;;ESTADOS UNIDOS;;9;;50;;5,7;;126344;;1;;0;;M;;20M
PERDIDO EM MARTE;;E1500617500000;;ESTADOS UNIDOS;;105;;1805071;;8;;921355;;1;;0;;M;;20M
PERDIDOS EM PARIS;;E1700270600000;;OUTROS;;105;;48811;;6,3;;3621;;1;;1;;M;;11M
PERFEITA É A MÃE 2;;E1700460300000;;ESTADOS UNIDOS;;7;;38920;;5,6;;57631;;1;;1;;M;;11M
PERFEITA É A MÃE!;;E1600369600000;;ESTADOS UNIDOS;;11;;89845;;6,2;;134321;;1;;1;;M;;11M
PERLIMPS;;B2200508100000;;BRASIL;;44;;3187;;6,6;;166;;1;;0;;M;;11M
PERMANÊNCIA;;B1500189400000;;BRASIL;;100;;11136;;6,8;;294;;4;;0;;M;;00M
PÉROLA;;B2300338800000;;BRASIL;;50;;7672;;7,1;;64;;1;;0;;M;;12F
PERSONAL SHOPPER;;E1700054800000;;OUTROS;;52;;14824;;6,1;;43144;;1;;0;;M;;10M
PESSOAS HUMANAS;;B1800468000000;;BRASIL;;1;;33;;5;;31;;1;;0;;M;;20M
PETER PAN;;E1500684400000;;ESTADOS UNIDOS;;96;;1876953;;5,7;;67079;;1;;0;;M;;20M
PETER VON KANT;;E2200194000000;;OUTROS;;31;;1858;;6,3;;2406;;1;;0;;M;;20M
PETERLOO;;E1800610800000;;OUTROS;;9;;1828;;6,5;;5448;;1;;0;;M;;10M
PETS - A VIDA SECRETA DOS BICHOS;;E1500745000000;;ESTADOS UNIDOS;;119;;4416171;;6,5;;216790;;1;;0;;M;;30M
PETS: A VIDA SECRETA DOS BICHOS 2;;E1900162100000;;ESTADOS UNIDOS;;211;;1927355;;6,4;;68645;;2;;0;;M;;30M
PHILOMENA;;E1600120400000;;ESTADOS UNIDOS;;125;;208417;;7,6;;103693;;1;;0;;M;;30M
PHOENIX;;E1500447500000;;OUTROS;;135;;25913;;7,3;;20620;;1;;0;;M;;30M
PIADEIROS;;B1500689300000;;BRASIL;;33;;716;;4,9;;17;;0;;1;;F;;00M
PICA-PAU;;E1700347000000;;ESTADOS UNIDOS;;113;;1621188;;4,2;;4947;;1;;0;;M;;42M
PICASSO E O ROUBO DA MONA LISA;;E1500709000000;;OUTROS;;98;;5420;;5,3;;290;;1;;0;;M;;10M
PIEDADE;;B1900347800000;;BRASIL;;69;;7427;;6,5;;332;;1;;0;;M;;40M
PIETA;;E1600178700000;;OUTROS;;7;;27;;7,1;;15731;;1;;0;;M;;10M
PINÓQUIO;;E2200401300000;;ESTADOS UNIDOS;;91;;5299;;5,1;;41880;;1;;0;;M;;73M
PINÓQUIO;;E2000294800000;;OUTROS;;100;;272134;;6,3;;14701;;1;;0;;M;;30M
PIRATAS DO CARIBE – A VINGANÇA DE SALAZAR;;E1700021600000;;ESTADOS UNIDOS;;87;;3631845;;6,5;;344495;;2;;0;;M;;41M
PIRIPKURA;;B1700242100000;;BRASIL;;35;;908;;7,7;;184;;1;;2;;F;;02F
PITANGA;;B1700107400000;;BRASIL;;77;;4839;;6,9;;102;;1;;1;;M;;31M
PIXELS;;E1500311800000;;ESTADOS UNIDOS;;95;;2350296;;5,6;;158670;;1;;0;;M;;30M
PIXINGUINHA, UM HOMEM CARINHOSO;;B1900508000000;;BRASIL;;35;;5995;;6,8;;108;;1;;1;;M;;02F
PJ HARVEY: UM CÃO CHAMADO DINHEIRO;;E2100057300000;;OUTROS;;8;;43;;6,6;;815;;1;;0;;M;;10M
PLANETA DOS MACACOS - O CONFRONTO;;E1402397400000;;ESTADOS UNIDOS;;125;;4103846;;7,6;;466980;;1;;0;;M;;31M
PLANETA DOS MACACOS: A GUERRA;;E1700182000000;;ESTADOS UNIDOS;;72;;2697411;;7,4;;281008;;1;;0;;M;;41M
PLANETA SOLITÁRIO;;E1500661700000;;OUTROS;;77;;1800;;5,5;;4299;;0;;1;;F;;12F
PLANO A;;E2200257300000;;OUTROS;;22;;503;;5,9;;1694;;0;;2;;F;;02F
PLANO DE APOSENTADORIA;;E2300333600000;;OUTROS;;1;;992;;5,1;;6486;;1;;0;;M;;10M
PLAUTO, UM  SOPRO MUSICAL;;B2200259700000;;BRASIL;;41;;833;;0;;0;;1;;0;;M;;01F
PLAYTIME - TEMPO DE DIVERSÃO;;E1900281400000;;OUTROS;;2;;268;;7,8;;25803;;1;;0;;M;;21M
PLUFT, O FANTASMINHA;;B2100282200000;;BRASIL;;101;;127619;;8;;30;;0;;1;;F;;01F
PO;;E1800498300000;;ESTADOS UNIDOS;;44;;1533;;6,4;;1798;;1;;0;;M;;20M
POBRES CRIATURAS;;E2300389100000;;ESTADOS UNIDOS;;29;;577555;;8;;224279;;0;;1;;F;;20M
PODERIA ME PERDOAR?;;E1800462600000;;ESTADOS UNIDOS;;62;;9334;;7,1;;56059;;0;;1;;F;;11M
PODRES DE RICOS;;E1800303600000;;ESTADOS UNIDOS;;79;;41569;;6,9;;189456;;1;;0;;M;;21M
POETAS DO CÉU;;B1900050800000;;BRASIL;;15;;32;;7;;26;;1;;0;;M;;00M
POLÍCIA FEDERAL - A LEI É PARA TODOS;;B1700338000000;;BRASIL;;96;;1360293;;6,4;;3540;;1;;0;;M;;30M
POLTERGEIST- O FENÔMENO;;E1500234600000;;ESTADOS UNIDOS;;161;;1228742;;4,9;;60983;;1;;0;;M;;22M
POMPEIA;;E1402436500000;;OUTROS;;41;;774885;;5,5;;116438;;1;;0;;M;;21M
PONHO A MÃO NO FOGO;;B1600494700000;;BRASIL;;2;;59;;0;;0;;1;;0;;M;;10M
PONTE AÉREA;;B1500138300000;;BRASIL;;42;;34818;;6,5;;760;;0;;1;;F;;11M
PONTE DOS ESPIÕES;;E1500617600000;;ESTADOS UNIDOS;;104;;424991;;7,6;;327156;;1;;0;;M;;30M
PONTO ZERO;;B1600264400000;;BRASIL;;72;;8247;;6,7;;177;;1;;0;;M;;10M
POR QUE VOCÊ NÃO CHORA?;;B2100057900000;;BRASIL;;23;;399;;6;;139;;0;;1;;F;;11M
POR QUE VOCÊ PARTIU?;;B1301772600000;;BRASIL;;14;;400;;6,6;;13;;1;;0;;M;;20M
POR TRÁS DO CÉU;;B1600730100000;;BRASIL;;47;;1471;;6,7;;69;;1;;0;;M;;10M
POR UMA MULHER;;E1500670300000;;OUTROS;;84;;6223;;6,6;;877;;0;;1;;F;;01F
PORNO PARA PRINCIPIANTES;;B1900435600000;;OUTROS;;5;;28;;5,4;;648;;1;;0;;M;;31M
POROPOPÓ;;B2000202100000;;BRASIL;;17;;256;;0;;0;;1;;0;;M;;20M
PORTA DOS FUNDOS - CONTRATO VITALÍCIO;;B1600368700000;;BRASIL;;67;;454433;;3,8;;1484;;1;;0;;M;;30M
PORTUÑOL;;B2000115500000;;BRASIL;;31;;114;;7,6;;47;;1;;0;;M;;10M
POSSESSÃO - O ÚLTIMO ESTÁGIO;;E2000049600000;;ESTADOS UNIDOS;;63;;5054;;4,3;;2046;;1;;0;;M;;10M
PRA FICAR NA HISTÓRIA;;B1700527500000;;BRASIL;;30;;309;;0;;0;;1;;0;;M;;10M
PRA LÁ DO MUNDO;;B1301803700000;;BRASIL;;7;;25;;7,6;;12;;1;;0;;M;;10M
PRAÇA PARIS;;B1700405200000;;OUTROS;;77;;13348;;6,6;;297;;0;;1;;F;;11M
PRAÇA PÚBLICA;;E1800343300000;;OUTROS;;92;;3425;;6;;1215;;0;;1;;F;;11M
PRAIA DA SAUDADE;;B2100301200000;;BRASIL;;27;;732;;0;;0;;0;;1;;F;;00M
PRAIA DO FUTURO;;B1402146300000;;BRASIL;;168;;132389;;6,3;;3299;;1;;0;;M;;30M
PRAZER, CAMARADAS!;;E2100077200000;;OUTROS;;20;;116;;6,6;;78;;1;;0;;M;;10M
PREDADORES ASSASSINOS;;E1900339500000;;ESTADOS UNIDOS;;41;;230120;;6,1;;93731;;1;;0;;M;;20M
PREENCHENDO O VAZIO;;E1600140100000;;OUTROS;;13;;170;;6,7;;3987;;1;;0;;M;;10M
PRESOS NA FLORESTA;;E2300287600000;;ESTADOS UNIDOS;;12;;3788;;7,4;;57;;1;;0;;M;;30M
PRESOS NA FLORESTA;;E2300287600000;;ESTADOS UNIDOS;;12;;3788;;4,3;;1339;;1;;0;;M;;10M
PRESSÁGIOS DE UM CRIME;;E1500828700000;;ESTADOS UNIDOS;;21;;66330;;6,4;;68656;;1;;0;;M;;11M
PRIDE AND PREJUDICE AND ZOMBIES;;E1500729200000;;ESTADOS UNIDOS;;19;;32496;;5,8;;60282;;1;;0;;M;;21M
PRIMAVERA EM CASABLANCA;;E1800300200000;;OUTROS;;65;;8208;;6,6;;762;;1;;0;;M;;11M
PRISCILLA;;E2300508800000;;ESTADOS UNIDOS;;66;;87986;;6,6;;32754;;0;;1;;F;;03F
PROCURANDO DORY;;E1600258900000;;ESTADOS UNIDOS;;146;;8161102;;7,2;;302420;;2;;0;;M;;11M
PROCURANDO NEMO;;E1402794700000;;ESTADOS UNIDOS;;18;;5485;;8,2;;1110269;;1;;1;;M;;30M
PROFESSOR MARSTON E AS MULHERES-MARAVILHAS;;E1700486500000;;ESTADOS UNIDOS;;33;;4574;;7;;28572;;1;;0;;M;;10M
PROFISSÃO DE RISCO;;E1600113900000;;OUTROS;;14;;11832;;5,2;;17130;;1;;0;;M;;30M
PROIBIDO NASCER NO PARAÍSO;;B1900490500000;;BRASIL;;53;;1614;;7,3;;10;;0;;1;;F;;03F
PROJETO FLÓRIDA;;E1700559200000;;ESTADOS UNIDOS;;16;;25889;;7,6;;127842;;1;;0;;M;;20M
PROJETO GEMINI;;E1900339700000;;OUTROS;;62;;821760;;5,7;;121830;;1;;0;;M;;21M
PROMESSAS DE GUERRA;;E1500242500000;;OUTROS;;22;;28568;;7;;77826;;1;;0;;M;;11M
PROPRIEDADE;;B1900126500000;;BRASIL;;49;;5619;;7,1;;266;;1;;0;;M;;10M
PROVA DE CORAGEM;;B1500399400000;;BRASIL;;33;;12119;;4,9;;89;;1;;0;;M;;30M
PSICOSE;;E1402577400000;;ESTADOS UNIDOS;;4;;2619;;8,5;;716468;;1;;0;;M;;11M
PUAN;;B2300527400000;;BRASIL;;48;;5854;;6,8;;535;;0;;2;;F;;02F
PULP FICTION: TEMPO DE VIOLÊNCIA;;E1500454300000;;ESTADOS UNIDOS;;6;;15501;;8,9;;2211876;;1;;0;;M;;20M
PURGATÓRIO;;E2200353200000;;OUTROS;;61;;29210;;6,2;;103;;1;;0;;M;;10M
PYEWACKET – ENTIDADE MALIGNA;;E1900200900000;;OUTROS;;7;;2630;;5,8;;11180;;1;;0;;M;;10M
QUALQUER GATO VIRA-LATA 2;;B1500309900000;;BRASIL;;88;;807827;;5,4;;329;;1;;1;;M;;21M
QUANDO AS LUZES SE APAGAM;;E1600252000000;;ESTADOS UNIDOS;;65;;822585;;0;;0;;1;;0;;M;;00M
QUANDO AS LUZES SE APAGAM;;E1600252000000;;ESTADOS UNIDOS;;65;;822585;;6,3;;141915;;1;;0;;M;;11M
QUANDO DUAS MULHERES PECAM;;E1800230700000;;OUTROS;;2;;116;;8,1;;130507;;1;;0;;M;;10M
QUANDO DUAS MULHERES PECAM;;E1800230700000;;OUTROS;;15;;674;;8,1;;130507;;1;;0;;M;;10M
QUANDO EU ERA VIVO;;B1302031600000;;BRASIL;;55;;7877;;6,2;;772;;1;;0;;M;;21M
QUANDO FALTA O AR;;B2200114000000;;BRASIL;;68;;5625;;7,8;;13;;1;;1;;M;;21M
QUANDO MARGOT ENCONTRA MARGOT;;E1900053400000;;OUTROS;;40;;6041;;5,5;;465;;0;;1;;F;;01F
QUANDO MEUS PAIS NÃO ESTÃO EM CASA;;E1500163400000;;OUTROS;;139;;6072;;7,2;;4990;;1;;0;;M;;10M
QUANDO OS RICOS QUEBRAM A CARA;;E1600069900000;;OUTROS;;53;;1393;;7,3;;10494;;1;;0;;M;;33M
QUANTO BASTA;;B2200080400000;;OUTROS;;1;;75;;6,5;;631;;1;;0;;M;;40M
QUANTO MAIS QUENTE MELHOR!;;E1600185900000;;ESTADOS UNIDOS;;3;;3342;;8,2;;282876;;1;;0;;M;;31M
QUANTO TEMPO O TEMPO TEM;;B1500562100000;;BRASIL;;59;;5961;;7,3;;332;;0;;1;;F;;03F
QUANTOS DIAS. QUANTAS NOITES;;B2300212300000;;BRASIL;;4;;1778;;0;;0;;0;;1;;F;;12F
QUASE SAMBA;;B1301916500000;;BRASIL;;25;;644;;5,4;;23;;1;;0;;M;;10M
QUATRO AMIGAS NUMA FRIA;;B2100322700000;;BRASIL;;21;;14241;;5,8;;27;;0;;1;;F;;33M
QUE ESTRANHO CHAMAR-SE FEDERICO;;E1500432300000;;OUTROS;;133;;11353;;7;;754;;0;;1;;F;;03F
QUE HORAS ELA VOLTA?;;B1500585100000;;BRASIL;;162;;488964;;7,7;;16660;;0;;1;;F;;01F
QUE HORAS EU TE PEGO ?;;E2300129700000;;ESTADOS UNIDOS;;61;;144877;;6,4;;156501;;0;;1;;F;;11M
QUE MAL EU FIZ A DEUS? 2;;E2000199300000;;OUTROS;;33;;701;;6,1;;9582;;1;;0;;M;;20M
QUE VIVA EISENSTEIN! 10 DIAS QUE ABALARAM O MÉXICO;;E1500850600000;;OUTROS;;94;;4672;;6,3;;3092;;1;;0;;M;;10M
QUEM É PRIMAVERA DAS NEVES;;B1700178100000;;BRASIL;;24;;1077;;6,8;;21;;1;;1;;M;;20M
QUEM FIZER GANHA;;E2300491100000;;ESTADOS UNIDOS;;21;;2511;;6,5;;19491;;1;;0;;M;;20M
QUEM SE IMPORTA;;B1201571700000;;BRASIL;;7;;200;;7,8;;90;;0;;4;;F;;04F
QUEM TEM MEDO?;;B2200198800000;;BRASIL;;18;;310;;8,1;;14;;3;;0;;M;;00M
QUEM VAI FICAR COM MÁRIO;;B2000502900000;;BRASIL;;38;;13822;;5,5;;543;;0;;1;;F;;32M
QUERÊNCIA;;B1900507200000;;BRASIL;;23;;75;;8,7;;8;;0;;1;;F;;01F
QUERIDA MAMÃE;;B1700332400000;;BRASIL;;68;;1646;;6,4;;83;;1;;0;;M;;00M
QUERIDO EMBAIXADOR;;B1700409900000;;BRASIL;;71;;2297;;6,3;;34;;1;;0;;M;;01F
QUERIDO EVAN HANSEN;;E2100412200000;;ESTADOS UNIDOS;;20;;11692;;6,1;;18517;;1;;0;;M;;10M
QUERIDO MENINO;;E1800562000000;;ESTADOS UNIDOS;;15;;15966;;7,4;;98532;;0;;1;;F;;31M
QUERO MATAR MEU CHEFE 2;;E1500168800000;;ESTADOS UNIDOS;;102;;581246;;6,3;;184457;;1;;0;;M;;50M
QUESTÃO DE TEMPO;;E1402624700000;;ESTADOS UNIDOS;;84;;54180;;7,8;;384593;;1;;0;;M;;10M
